postcode	district	x	y	lat	lon
AB10	Aberdeen	392900	804900	57.130000000000003	-2.1099999999999999
AB11	Aberdeen	394500	805300	57.130000000000003	-2.0899999999999999
AB12	Aberdeen	393300	801100	57.100000000000001	-2.1099999999999999
AB13	Aberdeen	385600	801900	57.100000000000001	-2.23
AB14	Aberdeen	383600	801100	57.100000000000001	-2.27
AB15	Aberdeen	390000	805300	57.130000000000003	-2.1600000000000001
AB16	Aberdeen	390600	807800	57.159999999999997	-2.1499999999999999
AB21	Aberdeen	387900	813200	57.210000000000001	-2.2000000000000002
AB22	Aberdeen	392800	810700	57.18	-2.1099999999999999
AB23	Aberdeen	394700	813500	57.210000000000001	-2.0800000000000001
AB25	Aberdeen	393200	806900	57.149999999999999	-2.1099999999999999
AB30	Aberdeen	370900	772900	56.840000000000003	-2.4700000000000002
AB31	Aberdeen	368100	798300	57.07	-2.52
AB32	Aberdeen	380800	807200	57.149999999999999	-2.3100000000000001
AB33	Aberdeen	355200	815100	57.219999999999999	-2.7400000000000002
AB34	Aberdeen	350800	800600	57.090000000000003	-2.8100000000000001
AB35	Aberdeen	330300	794700	57.030000000000001	-3.1400000000000001
AB36	Aberdeen	335600	812300	57.189999999999998	-3.0600000000000001
AB37	Aberdeen	318700	827500	57.329999999999998	-3.3500000000000001
AB38	Aberdeen	326500	844600	57.479999999999997	-3.2200000000000002
AB39	Aberdeen	386800	787400	56.969999999999999	-2.21
AB41	Aberdeen	393700	831700	57.369999999999997	-2.1000000000000001
AB42	Aberdeen	406700	845600	57.5	-1.8799999999999999
AB43	Aberdeen	397400	863000	57.649999999999999	-2.04
AB44	Aberdeen	370700	864400	57.659999999999997	-2.4900000000000002
AB45	Aberdeen	366200	862500	57.649999999999999	-2.5600000000000001
AB51	Aberdeen	375600	822100	57.280000000000001	-2.3999999999999999
AB52	Aberdeen	363500	828300	57.340000000000003	-2.6000000000000001
AB53	Aberdeen	376400	848400	57.520000000000003	-2.3900000000000001
AB54	Aberdeen	354200	840600	57.450000000000003	-2.7599999999999998
AB55	Aberdeen	340700	848600	57.520000000000003	-2.9900000000000002
AB56	Aberdeen	344800	865300	57.670000000000002	-2.9199999999999999
AL1	St. Albans	515800	206900	51.740000000000002	-0.32000000000000001
AL10	St. Albans	522200	208300	51.759999999999998	-0.23000000000000001
AL2	St. Albans	515100	203800	51.719999999999999	-0.33000000000000002
AL3	St. Albans	512400	210100	51.770000000000003	-0.37
AL4	St. Albans	517700	209500	51.770000000000003	-0.28999999999999998
AL5	St. Albans	513600	214400	51.810000000000002	-0.34999999999999998
AL6	St. Albans	524200	216300	51.829999999999998	-0.19
AL7	St. Albans	525100	212500	51.789999999999999	-0.17999999999999999
AL8	St. Albans	523500	213200	51.799999999999997	-0.20000000000000001
AL9	St. Albans	524400	206700	51.740000000000002	-0.19
B1	Birmingham	406300	286800	52.469999999999999	-1.8999999999999999
B10	Birmingham	410100	285800	52.469999999999999	-1.8500000000000001
B11	Birmingham	409600	284100	52.450000000000003	-1.8500000000000001
B12	Birmingham	408000	284700	52.460000000000001	-1.8799999999999999
B13	Birmingham	408300	282100	52.43	-1.8700000000000001
B14	Birmingham	407600	280000	52.409999999999997	-1.8799999999999999
B15	Birmingham	405200	285400	52.460000000000001	-1.9199999999999999
B16	Birmingham	404500	286500	52.469999999999999	-1.9299999999999999
B17	Birmingham	402700	284800	52.460000000000001	-1.96
B18	Birmingham	405200	288200	52.490000000000002	-1.9199999999999999
B19	Birmingham	406500	288800	52.490000000000002	-1.8999999999999999
B2	Birmingham	407000	286800	52.469999999999999	-1.8899999999999999
B20	Birmingham	405600	290700	52.509999999999998	-1.9099999999999999
B21	Birmingham	404100	289900	52.5	-1.9299999999999999
B23	Birmingham	409900	292300	52.520000000000003	-1.8500000000000001
B24	Birmingham	411700	291300	52.509999999999998	-1.8200000000000001
B25	Birmingham	412200	285300	52.460000000000001	-1.8200000000000001
B26	Birmingham	414300	284800	52.460000000000001	-1.79
B27	Birmingham	412100	283000	52.439999999999998	-1.8200000000000001
B28	Birmingham	410800	281000	52.420000000000002	-1.8400000000000001
B29	Birmingham	403600	282200	52.43	-1.9399999999999999
B3	Birmingham	406700	287000	52.479999999999997	-1.8999999999999999
B30	Birmingham	404900	280500	52.420000000000002	-1.9199999999999999
B31	Birmingham	401900	278900	52.399999999999999	-1.97
B32	Birmingham	400500	283400	52.439999999999998	-1.99
B33	Birmingham	414500	287000	52.479999999999997	-1.78
B34	Birmingham	414900	288700	52.490000000000002	-1.78
B35	Birmingham	414400	291300	52.509999999999998	-1.78
B36	Birmingham	415000	289600	52.5	-1.77
B37	Birmingham	417600	286800	52.469999999999999	-1.74
B38	Birmingham	404500	278000	52.399999999999999	-1.9299999999999999
B4	Birmingham	407200	287200	52.479999999999997	-1.8899999999999999
B40	Birmingham	418900	284600	52.450000000000003	-1.72
B42	Birmingham	406000	292900	52.530000000000001	-1.9099999999999999
B43	Birmingham	404800	294500	52.539999999999999	-1.9199999999999999
B44	Birmingham	407900	294200	52.539999999999999	-1.8799999999999999
B45	Birmingham	399400	276700	52.380000000000003	-2
B46	Birmingham	420800	290100	52.5	-1.6899999999999999
B47	Birmingham	408200	276600	52.380000000000003	-1.8799999999999999
B48	Birmingham	403500	273100	52.350000000000001	-1.9399999999999999
B49	Birmingham	409100	257700	52.210000000000001	-1.8600000000000001
B5	Birmingham	407100	285800	52.469999999999999	-1.8899999999999999
B50	Birmingham	410000	252300	52.159999999999997	-1.8500000000000001
